"October 21, 2014 at 02:24PM",Artist: Franz Ferdinand,Track: Outsiders,Album: You Could Have It So Much Better,,http://ift.tt/wlK5vN,indie rock,scottland
"October 21, 2014 at 02:28PM",Artist: Guster,Track: Satellite,Album: Ganging Up on the Sun,,http://ift.tt/xYSGvx,rock,american
"October 21, 2014 at 02:33PM",Artist: Kaiser Chiefs,Track: Ruby,"Album: Yours Truly, Angry Mob",,http://ift.tt/oUnP4A,indie rock,british
"October 21, 2014 at 02:36PM",Artist: Kasabian,Track: Where Did All the Love Go?,Album: West Ryder Pauper Lunatic Asylum,,http://ift.tt/RdIa4n,rock,british
"October 21, 2014 at 02:41PM",Artist: Arctic Monkeys,Track: Red Light Indicates Doors Are Secured,"Album: Whatever People Say I Am, That's What I'm Not",,http://ift.tt/wdsKVl,indie rock,british
"October 21, 2014 at 02:43PM",Artist: MGMT,Track: Time to Pretend,Album: Oracular Spectacular,,http://ift.tt/PLL9qT,rock,american
"October 21, 2014 at 02:49PM",Artist: She Wants Revenge,Track: I Don't Wanna Fall In Love,Album: She Wants Revenge,,http://ift.tt/R822Oa,rock,american
"October 21, 2014 at 03:30PM",Artist: Antonio Vivaldi,"Track: Concerto For 4 Violins, Cello, Strings & Continuo In F Major (""L'estro Armonico"" No. 7) Op. 3/7, RV 567","Album: Poland Philharmonic Chamber Orchestra, Vivaldi: L'Estro Armonico Concertos Op. 3 Nos. 7-12",,http://ift.tt/1rb7FXd,classic,italian
"October 21, 2014 at 03:31PM",Artist: Hard-Fi,Track: Cash Machine (Radio Edit),Album: Best Of 2004 - 2014 (Deluxe Edition) [+video],,http://ift.tt/1fqx5LG,indie-rock,british
"October 21, 2014 at 03:36PM",Artist: Bloc Party,Track: Kreuzberg,Album: Weekend in the City,,http://ift.tt/uaXIT4,indie-rock,british
"October 21, 2014 at 03:41PM",Artist: OK Go,Track: Do What You Want,Album: Oh No,,http://ift.tt/NifNRq,rock,american
"October 21, 2014 at 03:44PM",Artist: Rock Kills Kid,Track: Paralyzed,Album: Are You Nervous?,,http://ift.tt/11KyVi1,rock,american
"October 21, 2014 at 03:47PM",Artist: Hard-Fi,Track: Living For The Weekend,Album: Stars of CCTV,,http://ift.tt/UQIUnj,indie-rock,british
"October 21, 2014 at 03:52PM",Artist: Kasabian,Track: Fast Fuse,Album: Fast Fuse (Single),,http://ift.tt/t4xxv2,rock,british
"October 21, 2014 at 03:56PM",Artist: Bloc Party,Track: Tulips (club version),Album: Tulips,,http://www.last.fm/music/Bloc+Party/_/Tulips+(club+version),indie-rock,british
"October 21, 2014 at 04:01PM",Artist: Modest Mouse,Track: Dashboard,Album: We Were Dead Before The Ship Even Sank,,http://www.last.fm/music/Modest+Mouse/_/Dashboard,indie-rock,american
"October 21, 2014 at 04:05PM",Artist: Hard-Fi,Track: I Shall Overcome,Album: Once Upon A Time In The West,,http://www.last.fm/music/Hard-Fi/_/I+Shall+Overcome,indie-rock,british
"October 21, 2014 at 04:10PM",Artist: Kasabian,Track: I.D.,Album: Kasabian,,http://www.last.fm/music/Kasabian/_/I.D.,rock,british
"October 21, 2014 at 04:15PM",Artist: Eagles of Death Metal,Track: I'm Your Torpedo,Album: Heart On,,http://www.last.fm/music/Eagles+of+Death+Metal/_/I%27m+Your+Torpedo,rock,american
"October 22, 2014 at 04:06PM",Artist: Babyshambles,Track: A'Rebours,Album: Down in Albion,,http://www.last.fm/music/Babyshambles/_/A%27Rebours,rock,british
"October 22, 2014 at 04:11PM",Artist: Kasabian,Track: Days Are Forgotten,Album: Velociraptor!,,http://www.last.fm/music/Kasabian/_/Days+Are+Forgotten,rock,british
"October 22, 2014 at 05:02PM",Artist: Babyshambles,Track: Pipedown,Album: Down in Albion,,http://ift.tt/1gleKVa,rock,british
"October 22, 2014 at 05:04PM",Artist: The Strokes,Track: Between Love & Hate,Album: Room on Fire,,http://ift.tt/N3yM7D,rock,american
"October 22, 2014 at 05:08PM",Artist: Arctic Monkeys,Track: From the Ritz to the Rubble,"Album: Whatever People Say I Am, That's What I'm Not",,http://ift.tt/SH5vy9,indie-rock,british
"October 22, 2014 at 05:12PM",Artist: Good Shoes,Track: Small Town Girl,"Album: Rough Trade Shops: Counter Culture, Vol. 2",,http://ift.tt/J6pfpd,indie-rock,british
"October 22, 2014 at 05:15PM",Artist: The Libertines,Track: Mocking Bird* (Bonus Track),Album: Up The Bracket (Explicit),,http://ift.tt/10pAJ7b,indie-rock,british
"October 22, 2014 at 05:19PM",Artist: Babyshambles,Track: I Wish,Album: The Blinding EP,,http://ift.tt/15IQGE1,indie-rock,british
"October 22, 2014 at 05:22PM",Artist: Arctic Monkeys,Track: I Bet You Look Good on the Dancefloor,"Album: Whatever People Say I Am, That's What I'm Not",,http://ift.tt/oMl6fv,indie-rock,british
"October 22, 2014 at 05:25PM",Artist: The White Stripes,Track: Offend in Every Way,Album: White Blood Cells,,http://ift.tt/KUXu34,rock,american
