"October 22, 2014 at 06:11PM",Artist: The Libertines,Track: Vertigo,Album: Up The Bracket (Explicit),,http://ift.tt/JlANdc,indie rock,british,pandora,home,homework
"October 22, 2014 at 06:14PM",Artist: The Strokes,Track: Meet Me In The Bathroom,Album: Room on Fire,,http://ift.tt/zGaEYr,indie rock,american,pandora,home,homework
"October 22, 2014 at 06:17PM",Artist: Arctic Monkeys,Track: A Certain Romance (Live),Album: At The Apollo (Live),,http://ift.tt/1uHzwzu,indie rock,british,pandora,home,homework
"October 22, 2014 at 06:23PM",Artist: The Futureheads,Track: Meantime,Album: Grandma's Boy: Original Motion Picture Soundtrack,,http://ift.tt/rH0HRt,indie rock,british,pandora,home,homework
"October 22, 2014 at 06:27PM",Artist: The Smiths,Track: How Soon Is Now?,Album: Meat Is Murder,,http://ift.tt/p9ssn1,rock,british,pandora,home,homework
"October 22, 2014 at 06:30PM",Artist: Kasabian,Track: Me Plus One,Album: Empire,,http://ift.tt/sQ2W6x,rock,british,pandora,home,homework
"October 22, 2014 at 06:33PM",Artist: Brad Sucks,Track: Making Me Nervous,Album: I Don't Know What I'm Doing,,http://ift.tt/M00JMc,rock,canadian,pandora,home,homework
"October 22, 2014 at 06:36PM",Artist: Metric,Track: Gold Guns Girls,Album: Fantasies,,http://ift.tt/oTOmU9,indie rock,canadian,pandora,home,homework
"October 22, 2014 at 06:40PM",Artist: Franz Ferdinand,Track: No You Girls,Album: Tonight:Franz Ferdinand,,http://ift.tt/oG3xZA,indie rock,scottish,pandora,home,homework
"October 22, 2014 at 06:44PM",Artist: Arctic Monkeys,Track: Why'd You Only Call Me When You're High?,Album: Why'd You Only Call Me When You're High? (Single),,http://ift.tt/1c6PA9v,indie rock,british,pandora,home,homework
"October 22, 2014 at 06:47PM",Artist: The Black Keys,Track: Your Touch,Album: Magic Potion,,http://ift.tt/u61mos,indie rock,american,pandora,home,homework
"October 22, 2014 at 06:49PM",Artist: Kasabian,Track: Re-Wired,Album: Velociraptor!,,http://ift.tt/ssvxUO,rock,british,pandora,home,homework
"October 22, 2014 at 06:54PM",Artist: The Raconteurs,"Track: Steady, as She Goes","Album: Steady, as She Goes",,http://ift.tt/pnna1a,rock,american,pandora,home,homework
"October 22, 2014 at 06:58PM",Artist: Arctic Monkeys,Track: Who The Fuck Are Arctic Monkeys?,Album: Who the Fuck Are Arctic Monkeys?,,http://ift.tt/QriGUd,indie rock,british,pandora,home,homework
"October 22, 2014 at 07:05PM",Artist: Ratatat,Track: Seventeen Years,Album: Ratatat,,http://ift.tt/wgYHZO,electronic,american,pandora,home,homework
"October 22, 2014 at 07:09PM",Artist: Starfucker,Track: Rawnald Gregory Erickson The Second,Album: Starfucker,,http://ift.tt/sv9OXt,electronic,american,pandora,home,homework
"October 22, 2014 at 07:12PM",Artist: The Glitch Mob,Track: Fortune Days,Album: Drink the Sea,,http://ift.tt/pMrpVC,electronic,american,pandora,home,homework
