"November 08, 2014 at 05:47PM",Artist: Dot Allison,Track: Colour Me,Album: Afterglow,,http://ift.tt/1eQUIuy
"November 08, 2014 at 05:51PM",Artist: Thievery Corporation,Track: Beautiful Drug,Album: Radio Retaliation,,http://ift.tt/HELGS8
"November 08, 2014 at 05:55PM",Artist: Bonobo,Track: Days To Come,Album: Days to Come,,http://ift.tt/z1M6gL
"November 08, 2014 at 05:59PM",Artist: Télépopmusik,Track: Don't Look Back,Album: The L Word: The Third Season (Soundtrack),,http://ift.tt/PO03pK
"November 08, 2014 at 06:03PM",Artist: Charles Webster,Track: The Gift of Freedom,Album: Remixed on the 24th of July,,http://ift.tt/UK6Qnd
"November 08, 2014 at 06:27PM",Artist: Tom Middleton,Track: Serendipity,Album: Lifetracks,,http://ift.tt/xZ2IKN
"November 08, 2014 at 06:32PM",Artist: Tripssono,Track: Triptango (Trip Hop Remix),"Album: Tango Chill Sessions, Vol. 2",,http://ift.tt/JoO0xH
"November 08, 2014 at 06:36PM",Artist: Morcheeba,Track: Everybody Loves a Loser,Album: The Antidote,,http://ift.tt/1h12dSS
"November 08, 2014 at 06:41PM",Artist: Nightmares on Wax,Track: Rise,Album: Smokers Delight,,http://ift.tt/1khbyrW
"November 08, 2014 at 06:46PM",Artist: Thom Yorke,Track: Black Swan,Album: The Eraser,,http://ift.tt/pvj4Xm
"November 09, 2014 at 07:42PM",Artist: Ratatat,Track: Brulee,Album: LP3,,http://ift.tt/Ywvfm5
"November 09, 2014 at 07:46PM",Artist: Two Fingers,Track: Fools Rhythm,Album: Stunt Rhythms,,http://ift.tt/A6CNi3
"November 09, 2014 at 07:50PM",Artist: John Frusciante,Track: Murderers,Album: To Record Only Water For Ten Days,,http://ift.tt/W1Cnnr
"November 09, 2014 at 07:53PM",Artist: J-Walk,Track: Soul Vibration,Album: The Best Of 15 Years Supperclub,,http://ift.tt/J8VPvx
"November 09, 2014 at 07:56PM",Artist: Amon Tobin,Track: At the End of the Day,Album: Foley Room,,http://ift.tt/O8Pa6U
"November 11, 2014 at 10:30AM",Artist: Hard-Fi,Track: Better Do Better,Album: Stars of CCTV,,http://ift.tt/usnwSL
"November 11, 2014 at 12:17PM",Artist: Hard-Fi,Track: Living For The Weekend,Album: Stars of CCTV,,http://ift.tt/UQIUnj
"November 11, 2014 at 01:00PM",Artist: Kasabian,Track: Underdog,Album: West Ryder Pauper Lunatic Asylum,,http://ift.tt/n3ecPN
"November 11, 2014 at 01:04PM",Artist: Keane,Track: Somewhere Only We Know,Album: Hopes and Fears,,http://ift.tt/p6RmNn
"November 11, 2014 at 01:08PM",Artist: The Killers,Track: All These Things That I've Done,Album: Hot Fuss,,http://ift.tt/z1Y6Lh
"November 11, 2014 at 01:13PM",Artist: Bloc Party,Track: So Here We Are,Album: Silent Alarm (Explicit),,http://ift.tt/nHF3Uk
"November 11, 2014 at 01:18PM",Artist: Hard-Fi,Track: Bring It On,Album: Killer Sounds,,http://ift.tt/1dJPZ12
"November 11, 2014 at 01:22PM",Artist: Kasabian,Track: I.D.,Album: Kasabian,,http://ift.tt/rm8v4Z.
"November 11, 2014 at 01:27PM",Artist: Carolina Liar,Track: I'm Not Over,Album: Coming To Terms,,http://ift.tt/oiL8CU
"November 11, 2014 at 01:30PM",Artist: Rock Kills Kid,Track: I Need You,Album: Are You Nervous?,,http://ift.tt/14aaHXl
"November 11, 2014 at 01:35PM",Artist: Kaiser Chiefs,Track: Oh My God,Album: Employment,,http://ift.tt/w6Q8DH
"November 11, 2014 at 01:39PM",Artist: Muse,Track: Supermassive Black Hole,Album: Black Holes and Revelations,,http://ift.tt/pxs7Al
"November 11, 2014 at 01:42PM",Artist: The Kooks,Track: Naïve,Album: Inside In / Inside Out,,http://ift.tt/qWIIIC
"November 11, 2014 at 01:45PM",Artist: Franz Ferdinand,Track: Can't Stop Feeling,Album: Tonight:Franz Ferdinand,,http://ift.tt/znARgz
"November 11, 2014 at 01:49PM",Artist: Hard-Fi,Track: Stay Alive,Album: Killer Sounds,,http://ift.tt/KKLLVl
"November 11, 2014 at 01:53PM",Artist: The Killers,Track: When You Were Young,Album: When You Were Young,,http://ift.tt/ubAaxw
